ID,M/F,Harvest,days,AFDM_remaining,ln_AFDM,%_AFDM_lost,%_C,%_H,%_N,C:N,%_CT
male1,M,1,9,1.379518119,0.866897996,31.02409406,48.64,6.29,2.03,23.96059113,3.647194969
male1,M,2,43,0.592385979,0.465233507,68.50685917,47.06,5.82,2.64,17.82575758,0.198095238
female5,F,2,43,0.590444996,0.464013849,70.57925178,45.88,5.85,3.54,12.96045198,0.277849462
male2,M,2,43,0.476464336,0.389650267,76.04382645,48.44,6.07,4.16,11.64423077,0.325428195
male2,M,1,9,1.061514286,0.723440803,33.71335795,48.22,6.52,3.24,14.88271605,1.045033467
female7,F,1,9,1.401075373,0.875916709,27.57054523,48.95,6.26,1.82,26.8956044,4.530855019
male3,M,1,9,1.144958121,0.763120028,36.1891478,46.98,6.48,3.15,14.91428571,1.497233202
female6,F,1,9,1.545818882,0.93445236,23.055307,49.99,6.72,1.85,27.02162162,2.627148594
male3,M,2,43,0.265843174,0.235738441,86.70252229,36.69,3.77,3.53,10.39376771,0.093693694
female6,F,2,43,0.686529671,0.522672969,65.84089605,47.57,5.82,2.46,19.33739837,0.054814815
female7,F,2,43,0.629222653,0.488103001,68.53257384,48.57,5.85,2.8,17.34642857,0.333544974
female5,F,1,9,1.518646849,0.923721793,23.94977971,47.18,6.28,1.7,27.75294118,3.910254351
male1,M,0,0,1.899864682,1.064664075,5.0067659,46.97,6.59,1.64,28.6402439,21.38335287
male2,M,0,0,1.856455142,1.049581395,7.177242888,45.73,6.63,2.71,16.87453875,10.36652237
male3,M,0,0,1.853420195,1.048518343,7.328990228,45.89,6.65,2.79,16.44802867,7.286683681
female5,F,0,0,1.853137517,1.048419272,7.343124166,44.82,6.32,1.32,33.95454545,9.048938135
female6,F,0,0,1.863883848,1.052178692,6.805807623,45.67,6.48,1.32,34.59848485,10.18500185
female7,F,0,0,1.916363636,1.07033751,4.181818182,47.65,6.52,1.29,36.9379845,13.99329853
female7,F,0,0,1.888461538,1.060724021,5.576923077,46.93,6.61,1.72,27.28488372,8.931352019
female5,F,0,0,1.848317,1.046728294,7.584149979,45.95,6.39,2.12,21.6745283,3.816506075
female6,F,0,0,1.919845485,1.071530699,4.007725736,48.49,6.81,1.32,36.73484848,12.12811531
