Tag,Stream,Sex,Weevil_evidence,Frass,Branch_dieback,Branch_status,Stream_dist_m,
6202,Geo West,F,Y,N,N,branch alive,4.5,
6203,Geo West,M,Y,N,Y,1 branch damaged,10.8,
6204,Geo West,M,Y,N,Y,1 branch damaged,10.9,
6205,Geo West,M,Y,N,N,branch alive,11.7,
8301,Goose,M,N,N,N,alive,7.7,
8302,Goose,M,N,N,N,alive,6.2,
8303,Goose,M,N,N,N,alive,6.9,
8304,Goose,F,Y,N,Y,branch dead,3.6,
8305,Goose,M,Y,N,N,branch alive,3.2,
8306,Goose,M,N,N,N,alive,3.9,
8307,Goose,F,Y,Y,N,branch alive,6,
8308,Goose,F,N,N,N,alive,5.1,
8309,Goose,F,Y,N,N,branch alive,4.7,
8310,Goose,F,N,N,N,alive,8.6,
8311,Goose,M,N,N,N,alive,4.8,
8312,Goose,M,N,N,N,alive,5.1,
8313,Goose,M,N,N,N,alive,4.7,
8314,Goose,F,Y,Y,N,branch alive,5.9,
8315,Goose,M,Y,N,N,branch alive,4.7,
8316,Goose,F,Y,Y,N,branch alive,2.1,
8317,Goose,F,Y,N,N,branch alive,2.7,
8318,Goose,F,Y,N,N,branch alive,2.5,
8319,Goose,M,Y,N,Y,2 branches dead,5.6,
8320,Goose,F,Y,N,N,branch alive,3,
8321,Goose,F,Y,N,N,branch alive,3.2,
8322,Goose,M,Y,N,N,branch alive,4.9,
8323,Goose,M,Y,N,N,branch alive,5.3,
8324,Goose,M,N,N,N,alive,4.8,
8325,Goose,M,N,N,N,alive,4.6,
8326,Goose,F,Y,Y,N,branch alive,3.6,
8327,Goose,F,Y,N,N,branch alive,8.7,
8328,Goose,F,Y,Y,N,branch alive,7.9,
8329,Goose,F,Y,N,N,branch alive,4.9,
8330,Goose,F,N,N,N,alive,1.8,
8331,Goose,M,Y,Y,N,branch alive,4.2,
8332,Goose,F,Y,Y,N,branch alive,1.1,
8333,Goose,F,Y,N,N,branch alive,1.5,
8334,Goose,F,Y,Y,N,branch alive,2.8,
8335,Goose,F,Y,N,N,branch alive,3.5,
8336,Goose,M,N,N,N,alive,0.5,
8337,Goose,F,Y,Y,N,branch alive,1.8,
8338,Goose,F,Y,Y,Y,branch dead,2.5,
8339,Goose,M,Y,Y,N,branch alive,3.7,
8340,Goose,M,Y,Y,N,branch alive,3.6,
8341,Geo West,M,Y,N,N,branch alive,5,
8342,Geo West,F,N,N,N,alive,4.3,
8343,Geo West,M,Y,N,N,branch alive,3.8,
8344,Geo West,F,Y,Y,N,3 tagged branches ok,5.4,
8345,Geo West,F,Y,Y,Y,branch dead,4.4,
8346,Geo West,M,N,N,N,alive,5.3,
8347,Geo West,F,N,N,N,alive,1.7,
8348,Geo West,M,Y,N,N,branch alive,1.6,
8349,Geo West,M,Y,N,N,branch alive,0.9,
8350,Geo West,F,Y,N,N,branch alive,1.6,
8351,Geo West,F,N,N,N,alive,2.6,
8352,Geo West,M,N,N,N,alive,2.5,
8353,Geo West,M,N,N,N,alive,1.8,
8354,Geo West,F,Y,N,N,3 tagged branches ok,4.1,
8355,Geo West,M,Y,N,N,branch alive,3.7,
8356,Geo West,F,N,N,N,alive,3,
8357,Geo West,M,Y,Y,N,branch alive,3.3,
8358,Geo West,F,N,N,N,alive,3.9,
8359,Geo West,F,Y,N,Y,"1 branch dead, 3 branches alive",4.5,
8360,Geo West,F,Y,N,N,branch alive,4.5,
8361,Geo West,M,N,N,N,alive,5.9,
8362,Geo West,M,N,N,N,alive,5.9,
8363,Geo West,F,N,N,N,alive,7.7,
8364,Geo West,F,N,N,N,alive,7.6,
8365,Geo West,M,Y,Y,N,branch alive,8.5,
8366,Geo West,F,Y,N,N,branch alive,7,
8367,Geo West,F,Y,N,N,branch alive,7,
8368,Geo West,M,N,N,N,alive,6.6,
8369,Geo West,M,N,N,N,alive,6.6,
8370,Geo West,F,N,N,N,alive,3.8,
8371,Geo West,F,Y,N,N,branch alive,3.2,
8372,Geo West,F,N,N,N,alive,2.8,
8373,Geo West,F,N,N,N,alive,3.6,
8374,Geo West,M,N,N,N,alive,2.9,
8375,Geo West,M,N,N,N,alive,2.9,
8376,Geo West,M,N,N,N,alive,2.9,
8377,Geo West,F,Y,Y,N,branch alive,2.6,
8378,Geo West,F,Y,Y,N,branch alive,2,
8379,Geo West,M,Y,N,N,branch alive,8.2,
8380,Geo West,F,Y,N,N,branch alive,5,
8381,Geo West,M,N,N,N,alive,3.6,
8382,Geo West,M,N,N,Y,1 branch damaged,2.1,
8383,Geo West,F,Y,N,Y,1 branch alive,5.6,
8384,Geo West,F,Y,N,N,branch alive,5.3,
8385,Geo West,F,N,N,N,alive,1.8,
8386,Geo West,F,Y,N,N,branch alive,3,
8387,Geo West,M,Y,Y,N,branch alive,8.5,
8388,Geo West,F,Y,N,N,branch alive,2.7,
8389,Geo West,M,N,N,N,alive,5.6,
8390,Geo West,M,Y,Y,N,branch alive,7.7,
8391,Geo West,F,N,N,N,alive,2.4,
8392,Geo West,M,N,N,Y,1 tagged branch dead,4.5,
8393,Geo West,F,N,N,N,alive,4.6,
8394,Geo West,M,Y,N,N,branch alive,4.3,
8395,Geo West,M,N,N,N,alive,4.3,
8396,Geo West,M,N,N,N,alive,5.7,
8397,Geo West,M,Y,N,Y,"1 branch dead, 1 branch alive",8.7,
8398,Geo West,M,Y,Y,N,branch alive,6.4,
8399,Geo West,F,Y,N,N,branch alive,4.5,
8400,Geo West,F,N,N,N,alive,4.3,
