M/F,%_C,%_H,%_N,C:N,%_CT
male,46.97,6.59,1.64,28.6402439,21.38335287
male,45.73,6.63,2.71,16.87453875,10.36652237
male,45.89,6.65,2.79,16.44802867,7.286683681
female,44.82,6.32,1.32,33.95454545,9.048938135
female,45.67,6.48,1.32,34.59848485,10.18500185
female,47.65,6.52,1.29,36.9379845,13.99329853
female,46.93,6.61,1.72,27.28488372,8.931352019
female,45.95,6.39,2.12,21.6745283,3.816506075
female,48.49,6.81,1.32,36.73484848,12.12811531
female,46.96,6.5,2.24,20.96428571,1.133283133
female,47.21,6.44,2.08,22.69711538,1.587649402
male,47.32,6.57,1.44,32.86111111,14.46010187
female,46.5,6.59,1.79,25.97765363,11.36413043
female,45.06,6.46,1.63,27.64417178,10.32353671
male,46.44,6.59,1.52,30.55263158,13.13770914
